Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
funder-backend,com.asdc.funderbackend.config,SecurityConfig,securityFilterChain,11,1,1,31,0,,
funder-backend,com.asdc.funderbackend.config,SecurityConfig,passwordEncoder,3,1,0,52,0,,
funder-backend,com.asdc.funderbackend.config,SecurityConfig,authenticationManager,3,1,1,57,0,,
funder-backend,com.asdc.funderbackend.config,WebConfig,addCorsMappings,3,1,1,10,0,,
funder-backend,com.asdc.funderbackend.controller,BlogController,getAllBlogs,4,1,0,23,0,,
funder-backend,com.asdc.funderbackend.controller,BlogController,getBlogById,4,1,1,35,0,,
funder-backend,com.asdc.funderbackend.controller,CommentController,CommentController,3,1,1,23,0,,
funder-backend,com.asdc.funderbackend.controller,CommentController,getCommentByProductId,3,1,1,37,0,,
funder-backend,com.asdc.funderbackend.controller,CommentController,getCommentById,3,1,1,48,0,,
funder-backend,com.asdc.funderbackend.controller,CommentController,saveComment,3,1,1,59,0,,
funder-backend,com.asdc.funderbackend.controller,ContactUsController,sendEmail,10,3,1,29,0,,
funder-backend,com.asdc.funderbackend.controller,InvestedProductController,getAllInvestedProduct,16,3,1,32,0,,
funder-backend,com.asdc.funderbackend.controller,InvestedProductController,saveInvestment,16,3,1,58,0,,
funder-backend,com.asdc.funderbackend.controller,PaymentController,handleRazorpayRequest,11,3,1,29,0,,
funder-backend,com.asdc.funderbackend.controller,ProductController,ProductController,3,1,1,26,0,,
funder-backend,com.asdc.funderbackend.controller,ProductController,getAllProducts,25,4,0,31,0,,
funder-backend,com.asdc.funderbackend.controller,ProductController,getProductsByUserId,25,4,1,63,0,,
funder-backend,com.asdc.funderbackend.controller,ProductController,addProduct,25,4,2,96,0,,
funder-backend,com.asdc.funderbackend.controller,ProductController,getProductByProductId,20,3,1,130,0,,
funder-backend,com.asdc.funderbackend.controller,ProductController,updateProduct,25,4,2,158,0,,
funder-backend,com.asdc.funderbackend.controller,ProductController,deleteProduct,20,3,1,192,0,,
funder-backend,com.asdc.funderbackend.controller,UserController,signup,21,4,1,60,0,,
funder-backend,com.asdc.funderbackend.controller,UserController,login,32,3,1,94,0,,
funder-backend,com.asdc.funderbackend.controller,UserController,sendEmail,29,4,1,139,0,,
funder-backend,com.asdc.funderbackend.controller,UserController,resetPassword,18,4,1,179,0,,
funder-backend,com.asdc.funderbackend.controller,BlogControllerTest,setup,3,1,0,44,0,,
funder-backend,com.asdc.funderbackend.controller,BlogControllerTest,getAllBlogsTest,22,1,0,49,1,,
funder-backend,com.asdc.funderbackend.controller,BlogControllerTest,getBlogByIdTest,14,1,0,88,1,,
funder-backend,com.asdc.funderbackend.controller,CommentControllerTest,setup,3,1,0,44,0,,
funder-backend,com.asdc.funderbackend.controller,CommentControllerTest,getCommentByProductIdTest,19,1,0,52,1,,
funder-backend,com.asdc.funderbackend.controller,CommentControllerTest,getCommentByIdTest,11,1,0,80,1,,
funder-backend,com.asdc.funderbackend.controller,CommentControllerTest,saveCommentTest,13,1,0,100,1,,
funder-backend,com.asdc.funderbackend.controller,ContactUsControllerTest,sendEmailSuccessfulTest,11,1,0,32,1,,
funder-backend,com.asdc.funderbackend.controller,ContactUsControllerTest,sendEmailUnsuccessfulTest,12,1,0,47,1,,
funder-backend,com.asdc.funderbackend.controller,InvestedProductControllerTest,getAllInvestedProductSuccessTest,7,1,0,40,1,,
funder-backend,com.asdc.funderbackend.controller,InvestedProductControllerTest,getAllInvestedProductEmptyTest,7,1,0,50,1,,
funder-backend,com.asdc.funderbackend.controller,InvestedProductControllerTest,getAllInvestedProductExceptionTest,5,1,0,60,1,,
funder-backend,com.asdc.funderbackend.controller,InvestedProductControllerTest,saveInvestmentSuccessTest,9,1,0,68,1,,
funder-backend,com.asdc.funderbackend.controller,InvestedProductControllerTest,saveInvestmentFailureTest,7,1,0,81,1,,
funder-backend,com.asdc.funderbackend.controller,PaymentControllerTest,handleRazorpayRequestSuccessTest,11,1,0,31,1,,
funder-backend,com.asdc.funderbackend.controller,PaymentControllerTest,handleRazorpayRequestEmptyResponseTest,10,1,0,49,1,,
funder-backend,com.asdc.funderbackend.controller,ProductControllerIntegrationTest,getAllProductsTest,8,1,0,42,1,,
funder-backend,com.asdc.funderbackend.controller,ProductControllerIntegrationTest,getProductByProductIdTest,8,1,0,56,1,,
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,getAllProductsSuccessTest,7,1,0,42,1,,
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,getAllProductsEmptyTest,7,1,0,53,1,,
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,getAllProductsExceptionTest,6,1,0,64,1,,
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,getProductsByUserIdSuccessTest,7,1,0,74,1,,
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,getProductsByUserIdEmptyTest,7,1,0,85,1,,
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,getProductsByUserIdExceptionTest,6,1,0,97,1,,
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,addProductSuccessTest,10,1,0,107,1,,
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,addProductFailureTest,7,1,0,121,1,,
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,addProductNullImageFailureTest,8,1,0,132,1,,
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,getProductByProductIdSuccessTest,9,1,0,145,1,,
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,getProductByProductIdEmptyTest,5,1,0,160,1,,
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,getProductByProductIdExceptionTest,6,1,0,169,1,,
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,deleteProductSuccessTest,7,1,0,178,1,,
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,deleteProductFailureTest,7,1,0,189,1,,
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,deleteProductExceptionTest,7,1,0,200,1,,
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,updateProductSuccessTest,10,1,0,213,1,,
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,updateProductFailureTest,9,1,0,227,1,,
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,updateProductExceptionTest,9,1,0,242,1,,
funder-backend,com.asdc.funderbackend.controller,UserControllerIntegrationTest,resetPasswordTestSuccess,6,1,0,68,1,,
funder-backend,com.asdc.funderbackend.controller,UserControllerIntegrationTest,signupUserNameAlreadyExistTest,6,1,0,78,1,,
funder-backend,com.asdc.funderbackend.controller,UserControllerTest,setup,3,1,0,60,0,,
funder-backend,com.asdc.funderbackend.controller,UserControllerTest,signUpTestSuccessfulTest,9,1,0,64,1,,
funder-backend,com.asdc.funderbackend.controller,UserControllerTest,signUpErrorTest,10,1,0,78,1,,
funder-backend,com.asdc.funderbackend.controller,UserControllerTest,signUpUserAlreadyExistsTest,9,1,0,94,1,,
funder-backend,com.asdc.funderbackend.controller,UserControllerTest,loginSuccessful,14,1,0,108,1,,
funder-backend,com.asdc.funderbackend.controller,UserControllerTest,loginUserNameNotFound,10,1,0,127,1,,
funder-backend,com.asdc.funderbackend.controller,UserControllerTest,sendEmailSuccess,12,1,0,157,1,,
funder-backend,com.asdc.funderbackend.controller,UserControllerTest,sendEmailError,9,1,0,174,1,,
funder-backend,com.asdc.funderbackend.controller,UserControllerTest,sendEmailUserNotFound,8,1,0,187,1,,
