Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
funder-backend,com.asdc.funderbackend.controller,BlogControllerTest,getAllBlogsTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
funder-backend,com.asdc.funderbackend.controller,BlogControllerTest,getBlogByIdTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
funder-backend,com.asdc.funderbackend.controller,CommentControllerTest,getCommentByProductIdTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
funder-backend,com.asdc.funderbackend.controller,CommentControllerTest,getCommentByIdTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
funder-backend,com.asdc.funderbackend.controller,ContactUsControllerTest,sendEmailSuccessfulTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
funder-backend,com.asdc.funderbackend.controller,ContactUsControllerTest,sendEmailUnsuccessfulTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
funder-backend,com.asdc.funderbackend.controller,InvestedProductControllerTest,getAllInvestedProductSuccessTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
funder-backend,com.asdc.funderbackend.controller,InvestedProductControllerTest,getAllInvestedProductEmptyTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
funder-backend,com.asdc.funderbackend.controller,ProductControllerIntegrationTest,getAllProductsTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
funder-backend,com.asdc.funderbackend.controller,ProductControllerIntegrationTest,getProductByProductIdTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,getAllProductsSuccessTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,getAllProductsEmptyTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,getAllProductsExceptionTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,getProductsByUserIdSuccessTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,getProductsByUserIdEmptyTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,getProductsByUserIdExceptionTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,addProductSuccessTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,addProductFailureTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,addProductNullImageFailureTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,getProductByProductIdSuccessTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,getProductByProductIdExceptionTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,deleteProductSuccessTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,deleteProductFailureTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
funder-backend,com.asdc.funderbackend.controller,ProductControllerTest,deleteProductExceptionTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
