Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
funder-backend,com.asdc.funderbackend.config,SecurityConfig,1,0,3,3,20,3,0,0,1.0,0,1,E:\Dal Assignment\Advanced Software - 5308\Asdc Project final code main\Group19\.\funder-backend\src\main\java\com\asdc\funderbackend\config\SecurityConfig.java,23
funder-backend,com.asdc.funderbackend.config,WebConfig,0,0,1,1,5,1,0,0,-1.0,0,0,E:\Dal Assignment\Advanced Software - 5308\Asdc Project final code main\Group19\.\funder-backend\src\main\java\com\asdc\funderbackend\config\WebConfig.java,7
funder-backend,com.asdc.funderbackend.controller,BlogController,1,0,2,2,23,2,0,0,0.0,1,2,E:\Dal Assignment\Advanced Software - 5308\Asdc Project final code main\Group19\.\funder-backend\src\main\java\com\asdc\funderbackend\controller\BlogController.java,13
funder-backend,com.asdc.funderbackend.controller,CommentController,1,0,4,4,37,4,0,0,0.0,1,2,E:\Dal Assignment\Advanced Software - 5308\Asdc Project final code main\Group19\.\funder-backend\src\main\java\com\asdc\funderbackend\controller\CommentController.java,14
funder-backend,com.asdc.funderbackend.controller,ContactUsController,2,0,1,1,22,3,0,0,0.0,1,2,E:\Dal Assignment\Advanced Software - 5308\Asdc Project final code main\Group19\.\funder-backend\src\main\java\com\asdc\funderbackend\controller\ContactUsController.java,17
funder-backend,com.asdc.funderbackend.controller,InvestedProductController,2,0,2,2,49,6,0,0,0.0,1,2,E:\Dal Assignment\Advanced Software - 5308\Asdc Project final code main\Group19\.\funder-backend\src\main\java\com\asdc\funderbackend\controller\InvestedProductController.java,20
funder-backend,com.asdc.funderbackend.controller,PaymentController,2,0,1,1,23,3,0,0,0.0,1,2,E:\Dal Assignment\Advanced Software - 5308\Asdc Project final code main\Group19\.\funder-backend\src\main\java\com\asdc\funderbackend\controller\PaymentController.java,17
funder-backend,com.asdc.funderbackend.controller,ProductController,2,0,7,7,181,23,0,0,0.0,2,2,E:\Dal Assignment\Advanced Software - 5308\Asdc Project final code main\Group19\.\funder-backend\src\main\java\com\asdc\funderbackend\controller\ProductController.java,15
funder-backend,com.asdc.funderbackend.controller,UserController,9,0,4,4,134,15,0,0,0.0,2,8,E:\Dal Assignment\Advanced Software - 5308\Asdc Project final code main\Group19\.\funder-backend\src\main\java\com\asdc\funderbackend\controller\UserController.java,30
funder-backend,com.asdc.funderbackend.controller,BlogControllerTest,4,0,3,2,48,3,0,0,0.0,0,3,E:\Dal Assignment\Advanced Software - 5308\Asdc Project final code main\Group19\.\funder-backend\src\test\java\com\asdc\funderbackend\controller\BlogControllerTest.java,30
funder-backend,com.asdc.funderbackend.controller,CommentControllerTest,6,0,4,4,52,4,0,0,0.0,0,3,E:\Dal Assignment\Advanced Software - 5308\Asdc Project final code main\Group19\.\funder-backend\src\test\java\com\asdc\funderbackend\controller\CommentControllerTest.java,30
funder-backend,com.asdc.funderbackend.controller,ContactUsControllerTest,2,0,2,0,27,2,0,0,0.0,0,3,E:\Dal Assignment\Advanced Software - 5308\Asdc Project final code main\Group19\.\funder-backend\src\test\java\com\asdc\funderbackend\controller\ContactUsControllerTest.java,21
funder-backend,com.asdc.funderbackend.controller,InvestedProductControllerTest,2,0,5,0,39,5,0,0,0.4,0,3,E:\Dal Assignment\Advanced Software - 5308\Asdc Project final code main\Group19\.\funder-backend\src\test\java\com\asdc\funderbackend\controller\InvestedProductControllerTest.java,29
